Estado;LLC;CORP
California;70;100
Delaware;90;89
Florida;125;70
New York;200;125
Texas;300;300
Alabama;200;200
Alaska;250;250
Arizona;50;60
Arkansas;45;50
Colorado;50;50
Connecticut;120;250
District of Columbia;220;220
Georgia;100;100
Hawaii;50;50
Idaho;100;100
Illinois;150;175
Indiana;95;100
Iowa;50;50
Kansas;160;90
Kentucky;40;50
Louisiana;100;100
Maine;175;145
Maryland;100;120
Massachusetts;500;275
Michigan;50;60
Minnesota;155;160
Mississippi;50;50
Missouri;50;58
Montana;35;70
Nebraska;100;65
Nevada;425;725
New Hampshire;100;100
New Jersey;125;125
New Mexico;50;100
North Carolina;125;125
North Dakota;135;100
Ohio;99;125
Oklahoma;100;52
Oregon;100;100
Pennsylvania;125;125
Rhode Island;150;230
South Carolina;110;135
South Dakota;150;150
Tennessee;300;125
Utah;59;72
Vermont;125;125
Virginia;100;79
Washington;200;200
West Virginia;100;100
Wisconsin;130;100
Wyoming;100;100
